content,polarity
Diga cuanto nos van a costar las  autovías  de sus amiguetes ¿4500 millones o más ?  @EsperanzAguirre @PPopular,N
@lhermoso_ @sanchezcastejon  #DobleMoral  Castilla antes que Aragón...,N
@PSOE  @sanchezcastejon Me hace mucha gracia que esa afirmación la haga el PSOE,N
Para que todo el mundo lo tengo claro ....  @CsAlzira_   https://t.co/kcDxbhu3Ha,NEU
@Albert_Rivera  y  @CiudadanosCs  saben q este país es progresista pero q se arruga y vota centro. Discurso moderado y electoralista.,N
@sanchezcastejon  Todos los castellanos deberíamos celebrar. No sólo los del norte. En C-LM el festivo es 1 tonta fecha admva. #Propuesta,NEU
"@SooZLetras  @iunida  @IUCM No conozco los detalles, pero los valores y los principios me importan más de lo que me preocupan las disensiones",NEU
"@cesarpopmadrid lo comprendo, pero esos valores y principios están mejor representados en otras candidaturas de @iunida y no en la de  @IUCM .",N
"Partido podrido, partido prostituido =  @PPopular   https://t.co/C9YbvGD4zh",N
"@JDescane @quetemuevas @CiudadanosCs @emaspolet Sencillo:  Langosta, caviar y solomillo más barato y pan, leche, huevos, patatas...  más caro.",NEU
@AntonioMaestre si lo propusiese  @ahorapodemos  o  @iunida  sería titular de portada a 5 columnas! @CiudadanosCs,NEU
@PPopular  pero que poca vergüenza teneis degenerados,N
@LuisSalvador firma @JaqueAlReyLS en @FLMalaga con @qproquo http://t.co/rVeLFjOInY @CsMalaga @CsGranada  @CiudadanosCs,NEU
@CiudadanosCs @Albert_Rivera yo espero que los españoles que respetamos la  democracia  como tal no votemosun partido republicano con ideas1/2,P
Te esperamos con el compromiso de nuestro  Secretario General  @sanchezcastejon para El BIERZO http://t.co/x84bZmLJLV,NEU
@chacbas @HoyPorHoy @Albert_Rivera Seria idea luna  sanidad  gratuita global..Pero hay sanidad gratuita para los españoles cuando salimos??,NEU
"José Ignacio Wert  Ministro de Educación Cultura y Deportes del Gobierno de España, Nuria Riera Con... https://t.co/Hv1Vp0bQao via @change_es",NEU
.@AytoAntequera ha pasado en 4 años de recibir  avisos de corte d luz por impagos  con @psoe a  renovar luminarias eficientes  con @PPAntequera,N
#ConMasFuerza Los resultados de  @iuandalucia  mejorarán en las municipales.  @MailloAntonio .  @agarzon   @cayo_lara  @nuet http://t.co/pRRsvt37Dr,P
"@FeminismoDgital @LinesFoz @FozPSOE @sanchezcastejon x eso pedimos una ley q proteja a todas las partes, sin recovecos  #GestacionSubrogada",NEU
@sanchezcastejon  Hoy es un buen día para recomendar un libro... ¿Te animas?...,P
"@PSOE  @mjpartera  @sanchezcastejon  El mismo que tenéis vosotros. No se ponga usted tan digno,  don Pedro .",N
@Albert_Rivera  esperando q algún día vengas a Zaragoza a firmármelo! http://t.co/Qxe60jE2M2,P
@AntonioMaestre @CiudadanosCs yo la subí en Menéame y los propios simpatizantes de C's la tumbaron. Y todavía niegan la  subida del IVA,N
IU denuncia la apuesta del PP por profundizar la privatización en la  Educación Superior  | IZQUIERDA UNIDA http://t.co/PVvccGoVmz via @iunida,N
"@anguitista converger con un partido que primeramente son ellos quienes no quieren la convergencia con nosotros, @pagan_gines  @agarzon",NEU
"@Albert_Rivera  solo felicitaros por la no eleccion de  Juan Carlos Machuca  en Parla , no te imaginas lo trepas que es , saludos",NEU
¿Q ha hecho mal @UPyD dsd entonces? ¿Pq ya no  capitaliza voto   desencantados x el sistema partidos actual ? #Reflexion http://t.co/GBAta9JAob,NEU
Me firma el libro @marianorajoy ?? #FelizDiaDelLibro son unos  recibís  que le quedaron pendientes http://t.co/x4X6GtoOYu,NEU
@MGFolch  @PPopular  Así debe se ser además lo hacen con unas llamadas de teléfono y una buena comilona o cena que pagamos los españoles,N
"@Kelpie75 olvídate de podemos y de sus dirigentes porfa.  La convergencia se da por abajo, no por arriba  @pagan_gines @agarzon",NEU
"@martalopeza @GSubrogada  @sanchezcastejon  yo le presenté a mis hijas en Plasencia y tb me dijo q iba a hacer algo, pero me temo q ....",NEU
Ayer en el Congreso reunidos con @PSOE expusimos proyecto  #TaxiUrbanSocialCity  para una #SmartSocialCity. #ClaroQueSí http://t.co/wNTGZTOPQZ,NEU
"@agarzon @vocalcbaza tenías que decir ""  contar con nosotros y nosotras ""  como has dicho más de una vez. A lo que llegamos !!!",N
"@Albert_Rivera @CiudadanosCs  Estoy segura d q estais muy ocupados, pero agradeceria una respuesta a mi twit d ayer...acaso no hay nadie ahi?",N
"@Kelpie75 pues caro que pecan de adanismo y muchas de las nuestras también de  sectarismo , compartimos el carrillismo @pagan_gines @agarzon",N
@nieveslazurda @ccifuentes @PPopular Las privatizaciones crean  paro y miseria  mientras  políticos corruptos y sus amigos se llenan el bolsillo,N
"@Kelpie75 y  defender la  lucha de clases  es defender a los  trabajadores  concienciándoles, estén donde estén  @pagan_gines @agarzon",NEU
@libertaddigital @MiriamMuroM @ahorapodemos @Monolocus @VenezuelAeLibre @periodicovzlano Venezuela fue el origen de  Podemos  y será su fin.,N
@sanchezcastejon moze no paras de  meter la pata .....,N
"@Roberhawk  @PPopular  En Nueva yor? Quiénes,los mismos que acusan a @NicolasMaduro de asesino  @Pablo_Iglesias_  ?",NEU
@PPopular @Qvixote2015 O podemos leer el BOE donde habéis metido el  programa de religión  en los colegios. Eso si queremos tragicomedia.,N
"@anguitista exactamente, por abajo,  consultando a las bases  y lo que veo por parte de @agarzon y otros es  todo lo contrario  @pagan_gines",N
"@cmgorriaran @DANIEL_FM_TUIT @UPyD lo dicho, no me  parece que ayude a quitar la imagen  de que  UPyD desaparece ...",N
Diez huelgas de  Educación  en Aragón desde que Wert es ministro http://t.co/bFTAhJz1Ru vía @eldiarioaragon,N
Pues habrá que  cepillarse  a  #Trillo  y a  #Pujalte  no compañeros?  @PPopular,N
